ticker,market_cap,lookup_status,bucket
EOLS,301227776.0,success,Small-cap
EPAM,6952654336.0,success,Mid-cap
EPC,1039911616.0,success,Small-cap
EPD,80201318400.0,success,Large-cap
EPR,4314198528.0,success,Mid-cap
EPSN,181439872.0,success,Small-cap
EQH,11818350592.0,success,Large-cap
EQIX,103848558592.0,success,Large-cap
EQT,35433791488.0,success,Large-cap
ERIC,39566856192.0,success,Large-cap
ESI,9142134784.0,success,Mid-cap
ET,64368283648.0,success,Large-cap
ETH,,no_cap,
ETN,153441304576.0,success,Large-cap
ETON,735862720.0,success,Small-cap
ETR,52623949824.0,success,Large-cap
ETSY,5717051904.0,success,Mid-cap
EVER,557379200.0,success,Small-cap
EVGO,645974784.0,success,Small-cap
EVLO,1898.0,success,Small-cap
EVLV,1140670720.0,success,Small-cap
EVRG,18777368576.0,success,Large-cap
EW,45418557440.0,success,Large-cap
EXAS,20026083328.0,success,Large-cap
EXC,48989626368.0,success,Large-cap
EXEL,11872006144.0,success,Large-cap
EXK,2916188416.0,success,Mid-cap
EXP,6319790080.0,success,Mid-cap
EXPD,19227201536.0,success,Large-cap
EXPE,31545376768.0,success,Large-cap
EXPI,1006562432.0,success,Small-cap
EXTR,2329576448.0,success,Mid-cap
EZU,10322001920.0,success,Large-cap
F,50980855808.0,success,Large-cap
FANG,52287414272.0,success,Large-cap
FCFS,8941579264.0,success,Mid-cap
FCX,98735751168.0,success,Large-cap
FDS,8560654336.0,success,Mid-cap
FDX,87072382976.0,success,Large-cap
FERG,51632898048.0,success,Large-cap
FGEN,,no_cap,
FHN,11544219648.0,success,Large-cap
FICO,24453013504.0,success,Large-cap
FIGS,2560544000.0,success,Mid-cap
FIS,25022547968.0,success,Large-cap
FISV,32776513536.0,success,Large-cap
FITB,45133287424.0,success,Large-cap
FIVE,12335847424.0,success,Large-cap
FIVN,1176022784.0,success,Small-cap
FIX,58162036736.0,success,Large-cap
FIZZ,3171319296.0,success,Mid-cap
FLEX,29002655744.0,success,Large-cap
FLGT,504999328.0,success,Small-cap
FLIR,,no_cap,
FLNG,1666045184.0,success,Small-cap
FLR,7117180928.0,success,Mid-cap
FLT,,no_cap,
FLUT,19470571520.0,success,Large-cap
